ID jeu PK FK;Personnage principal PK FK
3;Patrick
3;Yannick
3;Alexandre
3;Sylvie
11;Snail Lispken
17;Dracula
19;Ulopa
20;Zad
22;Ranx
24;Artaban
28;Indiana Jones
29;Hodja Nasreddin
29;Frank Instein
29;Suzulu
29;Biff
29;Raphael
29;Surf Sister
29;Helmut von Poitenegger
29;Sumo-San
29;Rabbit
31;Rayman
33;Marine Malice
33;Luther
35;Justin
36;Valdo
38;Bubba Kosh
39;Asghan
40;Buck
42;Laura
46;John Clark
50;Hype
52;Rayman
54;Rocket
57;Ed
59;Angel Sanchez
61;Zio Matrix
62;Batman
63;Donald duck
66;Laura
70;Batman
72;Blanche-Neige
74;ICP
77;Cyprien
81;Rayman
84;Alexandra Lerdermann
85;Hikaru
90;Ryudo Geohound
92;Largo Winch
93;Largo Winch
95;Rocky
97;Sam Fisher
99;Batman
100;Jade
102;D.B. Russel
103;Jack Lorski
104;Alexandra ledermann
106;Rayman
110;XIII
115;Mademoiselle de Chardigny
116;Alexandre
117;Spike
117;Natalie
117;Casi
117;Professor
117;Helga
120;Jack Carver
121;Jack Lorski
125;Dastan
129;Sherlock Holmes
130;Becky
130;Brett
131;Luke Skywalker
133;Ding Chavez
134;Sam Fisher
137;Jade
139;Sergent Matt Baker
140;Sergent Joe Hartsock
142;Tom Hansen
144;Nowe
146;Jack Carver
150;Jack
153;Jian Campbell
154;Samanosuke Akechi
154;Jacques Blanc
155;Hugh Hefner
156;Dastan
157;Dastan
158;Rayman
160;Anakin Skywalker
160;Obi-Wan Kenobi
162;Ding Chavez
163;Sam Fisher
164;Tork
